area,level,year,household,parking,fuel,SNU,sratio,med,popden,edu,lnsubnet,lngreen,lnwater,spring,fall,winter,score,sentiment,lnprice,longitude,latitude
111.18,15,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,1,0,5,2.795918367,10.33201793,127.317071,36.372531
118.94,13,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,1,0,5,2.795918367,10.34174248,127.317071,36.372531
84.65,14,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,1,0,5,2.795918367,10.18490001,127.317071,36.372531
118.94,14,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,0,1,5,2.795918367,10.37349118,127.317071,36.372531
83.89,14,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,0,1,5,2.795918367,10.03451581,127.317071,36.372531
111.18,11,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,0,1,5,2.795918367,10.34174248,127.317071,36.372531
118.94,11,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,0,1,5,2.795918367,10.2646524,127.317071,36.372531
118.94,4,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,0,1,5,2.795918367,10.27505111,127.317071,36.372531
58.62,7,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,0,0,1,5,3.074421769,9.642122788,127.316855,36.375594
59.98,7,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,0,0,1,5,3.074421769,9.560997244,127.316855,36.375594
59.98,14,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,0,0,1,5,3.074421769,9.60238246,127.316855,36.375594
59.88,12,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,0,0,1,5,3.074421769,9.61580548,127.316855,36.375594
59.98,9,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,0,0,1,5,3.074421769,9.564512186,127.316855,36.375594
58.62,12,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,1,0,0,5,3.074421769,9.609116492,127.316855,36.375594
59.98,5,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,1,0,0,5,3.074421769,9.588776808,127.316855,36.375594
59.88,12,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,1,0,0,5,3.074421769,9.60238246,127.316855,36.375594
59.88,5,2004,251,1,0,7,97.4040932,37,1954.473684,40.28588575,5.515525158,5.334758107,6.696143292,1,0,0,5,3.074421769,9.574983486,127.316855,36.375594
